"rep","Dmean","Dse","decHour","DmmolMean","DmmolSE","CondMean","CondSE","PhotoMean","PhotoSE","CiCaMean","CiCaSE","gcMean","gcSE","vcmax_TinsMean","vcmax_TinsSE","vcmax_TsenMean","vcmax_TsenSE","sampleNo","round","spp","treatment","leafAge"
"5_QUE_drought_mature",2.65,0.030550504633039,15.0333333333333,26.0826771653543,0.300693943238573,0.0212,0.00642910050732864,1.30333333333333,0.538526797022313,0.721669616816119,0.0427018895323095,0.01325,0.0040181878170804,5.84364203254371,2.59510440226523,5.78752075830905,2.60458688340769,3,"5","QUE","drought","mature"
"6_QUE_control_mature",2.82333333333333,0.133458274794451,16.7555555555556,27.7887139107612,1.31356569679577,0.0491,0.0265907878785116,3.45333333333333,2.12367867416686,0.729011100241667,0.0797986016606614,0.0306875,0.0166192424240698,16.4774097618273,10.1258962087282,16.5220394487367,10.1101329203981,3,"6","QUE","control","mature"
"6_QUE_drought_mature",2.9025,0.025617376914899,16.7083333333333,28.5679133858268,0.252139536563967,0.02555,0.00406622265335614,2.225,0.481983747997101,0.614429352008826,0.0342986510435995,0.01596875,0.00254138915834759,11.7205336184858,3.0660037563086,12.1922502140137,3.31872970782637,4,"6","QUE","drought","mature"
"1_ZEA_control_mature",1.36333333333333,0.127845392738434,9.28333333333333,13.4186351706037,1.25832079466963,0.0947666666666667,0.0423562011726474,15.2733333333333,5.27813835025612,0.256150813092598,0.0586579802924599,0.0592291666666667,0.0264726257329046,NA,NA,NA,NA,3,"1","ZEA","control","mature"
"1_ZEA_drought_mature",2.16333333333333,0.248792640119795,11.2527777777778,21.2926509186352,2.448746457872,0.01805,0.00499084161239365,3.685,1.09915042949847,0.16100988122615,0.0585774413424632,0.01128125,0.00311927600774603,NA,NA,NA,NA,6,"1","ZEA","drought","mature"
"1_ZEA_well-watered_mature",1.624,0.140378060963955,9.65666666666667,15.9842519685039,1.38167382838539,0.18088,0.0284587666633675,24.942,3.05611910762653,0.364584959424621,0.0594449357029679,0.11305,0.0177867291646047,NA,NA,NA,NA,5,"1","ZEA","well-watered","mature"
"2_ZEA_control_mature",2.645,0.00499999999999989,13.9083333333333,26.0334645669291,0.0492125984251981,0.06135,0.01985,10.585,3.215,0.264439364489553,0.0124422876556445,0.03834375,0.01240625,NA,NA,NA,NA,2,"2","ZEA","control","mature"
"2_ZEA_drought_mature",2.97,0.0334165627596057,14.2125,29.2322834645669,0.328903176767772,0.01925,0.00471531193736604,3.445,1.27860927052273,0.383747398918562,0.213635037520861,0.01203125,0.00294706996085377,NA,NA,NA,NA,4,"2","ZEA","drought","mature"
"2_ZEA_well-watered_mature",2.275,0.185674446276271,12.0375,22.3917322834646,1.82750439248299,0.197025,0.0210715596242898,27.05,2.06659946127287,0.38262277993089,0.056179606055248,0.123140625,0.0131697247651811,NA,NA,NA,NA,4,"2","ZEA","well-watered","mature"
"3_ZEA_control_mature",3.595,0.116368667031408,16.8125,35.3838582677165,1.14536089597842,0.073475,0.0244332892791781,9.9775,4.95597009508061,0.412214858372066,0.156243918296873,0.045921875,0.0152708057994863,NA,NA,NA,NA,4,"3","ZEA","control","mature"
"3_ZEA_drought_mature",4.0275,0.15686379442051,16.6,39.6407480314961,1.54393498445384,0.0084,0.000980646045557043,-0.005,0.262503968223974,0.92555327171959,0.112150841858507,0.00525,0.000612903778473152,NA,NA,NA,NA,4,"3","ZEA","drought","mature"
"3_ZEA_well-watered_mature",2.83,0.157130518996152,13.7566666666667,27.8543307086614,1.54656022634008,0.17782,0.0337307634067182,27.156,4.70305921714792,0.315337882511062,0.0288209268192146,0.1111375,0.0210817271291989,NA,NA,NA,NA,5,"3","ZEA","well-watered","mature"
"4_ZEA_drought_mature",4.18,NA,17.7166666666667,41.1417322834646,NA,0.009,NA,-0.46,NA,1.12789476316711,NA,0.005625,NA,NA,NA,NA,NA,1,"4","ZEA","drought","mature"
"4_ZEA_well-watered_mature",3.184,0.0505568986390582,15.94,31.3385826771654,0.49760727006947,0.15738,0.00798939296817975,26.602,1.72838768799133,0.259175161455211,0.0209598680065382,0.0983625,0.00499337060511234,NA,NA,NA,NA,5,"4","ZEA","well-watered","mature"
"5_ZEA_well-watered_mature",3.53,0.052121652570373,16.8083333333333,34.744094488189,0.513008391440678,0.156775,0.00835687092557176,25.23,1.21024790848817,0.28772805367554,0.0303452583033691,0.097984375,0.00522304432848235,NA,NA,NA,NA,4,"5","ZEA","well-watered","mature"
"1_BET_control_young",1.31666666666667,0.143333333333333,8.65,12.9593175853018,1.41076115485564,0.119266666666667,0.0471137748198738,4.69333333333333,1.16178502505603,0.794303375688656,0.0548857331826742,0.0745416666666667,0.0294461092624211,19.1468666736816,5.3859048377766,19.6162917995248,5.43109887212269,3,"1","BET","control","young"
"1_BET_drought_young",1.405,0.113907857498945,8.65833333333333,13.8287401574803,1.12114032971403,0.03465,0.0136169318619626,2.995,0.770676110092084,0.548533703861505,0.102600477186901,0.02165625,0.00851058241372665,20.0361512399883,5.87832741434469,19.8262868103649,5.71431936625534,4,"1","BET","drought","young"
"1_BET_well-watered_young",1.45,0.154142790943982,9.31333333333333,14.2716535433071,1.51715345417305,0.12198,0.0477239394853359,7.248,0.762747664696523,0.654935544370675,0.058657597728304,0.0762375,0.0298274621783349,35.3079370639757,3.43168722366746,35.1027601584104,3.38589302597643,5,"1","BET","well-watered","young"
"2_BET_control_young",1.74666666666667,0.0480740170061866,11.6555555555556,17.1916010498688,0.473169458722307,0.0658333333333333,0.0264994549210189,4.61333333333333,0.926936411579085,0.64904645170412,0.054210260079232,0.0411458333333333,0.0165621593256368,21.8919564110393,2.55395772781062,21.4802754175165,2.28322411293633,3,"2","BET","control","young"
"2_BET_drought_young",1.9975,0.0246221445044903,11.6541666666667,19.6604330708661,0.24234394197333,0.0125,0.0025377155080899,1.48,0.445888625854783,0.548298541150035,0.0831015493632262,0.0078125,0.00158607219255619,10.3166659427218,3.60656312965184,10.9355534114523,3.92844816978773,4,"2","BET","drought","young"
"2_BET_well-watered_young",2.166,0.142218142302591,11.5433333333333,21.3188976377953,1.39978486518298,0.11504,0.0438406158715865,6.67,1.64431444681363,0.685229916787916,0.0456884114007445,0.0719,0.0274003849197415,30.421050404961,6.34718777950144,29.8695607286874,6.10645623271111,5,"2","BET","well-watered","young"
