"campaign","date","roundNum","round","spp","ID","leafAge","treatment","Obs","HHMMSS","FTime","Photo","Cond","Ci","Trmmol","VpdL","Area","Tleaf","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","DateTime","Time","rep","CiCa","Dmmol","gc","CAPindex","MESindex","fround","gc_CAP","gc_MES","qfitCAP","qfitMES"
"Jun-15","24/06/2015",1,"1","MOL",6061,"young","well-watered",22,"07:59:52",1978.5,8.18,0.2,323,2.08,1.06,2,22.2,399.27,395.67,15.18,16,56.66,59.71,501,1500,2015-06-24 07:59:52,7.98333333333333,"1_MOL_well-watered_young",0.816336846361867,10.4330708661417,0.125,0.00717581038750879,0.0372625392562354,"1",0.14200161802165,0.136244443866304,"yes","yes"
"Jun-15","24/06/2015",2,"2","MOL",7013,"young","well-watered",135,"10:17:34",10261.9,1.56,0.0291,303,0.49,1.68,2,27.28,400.06,399.36,19.08,19.27,57.81,58.39,500,1497,2015-06-24 10:17:34,10.2833333333333,"2_MOL_well-watered_young",0.758713942307692,16.5354330708661,0.0181875,0.00107577957408633,0.0128587206701262,"2",0.0248414579217715,0.0341180664030392,"yes","yes"
"Jun-15","24/06/2015",2,"2","MOL",6061,"young","well-watered",145,"10:28:30",10918.8,4.99,0.0755,283,1.21,1.6,2,27.15,400.19,398,19.27,19.75,57.68,59.1,500,1497,2015-06-24 10:28:30,10.4666666666667,"2_MOL_well-watered_young",0.71105527638191,15.748031496063,0.0471875,0.00353959295201054,0.0236107672929206,"2",0.0742397962384497,0.0791137939375468,"yes","yes"
"Jun-15","24/06/2015",3,"3","MOL",7013,"young","well-watered",255,"12:46:19",19188.1,2.55,0.0908,339,2.28,2.5,2,29.91,400.06,398.68,16.17,17.06,44.42,46.88,500,1499,2015-06-24 12:46:19,12.7666666666667,"3_MOL_well-watered_young",0.850306009832447,24.6062992125984,0.05675,0.00144428345255766,0.0134897732986315,"3",0.0335730015820203,0.0367589284759363,"yes","yes"
"Jun-15","24/06/2015",3,"3","MOL",6061,"young","well-watered",265,"12:59:45",19993,2.77,0.05,295,1.28,2.54,2,29.88,400,398.69,16.09,16.59,43.8,45.17,500,1500,2015-06-24 12:59:45,12.9833333333333,"3_MOL_well-watered_young",0.739923248639294,25,0.03125,0.00155644209698264,0.0139483067833637,"3",0.0359993230701605,0.0386778234052719,"yes","yes"
"Jun-15","24/06/2015",4,"4","MOL",7013,"young","well-watered",14,"15:18:05",1177.4,3.6,0.0476,258,1.7,3.54,2,32.26,399.73,398.02,12.19,12.86,28.24,29.79,500,1499,2015-06-24 15:18:05,15.3,"4_MOL_well-watered_young",0.648208632732024,34.8425196850394,0.02975,0.00171667936862389,0.0134820897537527,"4",0.0409339095084931,0.036726773975124,"yes","yes"
"Jun-15","24/06/2015",4,"4","MOL",6061,"young","well-watered",24,"15:31:41",1993.4,1.37,0.0503,335,1.7,3.37,2,31.48,399.99,399.17,11.79,12.47,27.1,28.65,500,1499,2015-06-24 15:31:41,15.5166666666667,"4_MOL_well-watered_young",0.839241425958865,33.1692913385827,0.0314375,0.000667406458221496,0.00851042331682484,"4",0.0177261207120682,0.0159210840226451,"yes","yes"
"Jun-15","18/06/2015",1,"1","PIN",5024,"young","well-watered",23,"08:06:01",2422.4,12.24,0.2564,310,2.66,1.07,2,21.58,399.7,394.39,13.8,14.85,49.72,53.49,501,1498,2015-06-18 08:06:01,8.1,"1_PIN_well-watered_young",0.786023986409392,10.5314960629921,0.16025,0.0107260078768214,0.0454502783198628,"1",0.143421604237816,0.136355208623435,"yes","yes"
"Jun-15","18/06/2015",1,"1","PIN",8014,"young","well-watered",65,"08:50:48",5110.17,10.32,0.2758,329,2.17,0.81,2,22.89,400.16,395.7,18.59,19.44,66.78,69.83,500,1499,2015-06-18 08:50:48,8.83333333333333,"1_PIN_well-watered_young",0.831437958049027,7.97244094488189,0.172375,0.0103554948160272,0.0478770748853852,"1",0.133956263438453,0.145190939764332,"yes","yes"
"Jun-15","18/06/2015",1,"1","PIN",5024,"young","well-watered",108,"09:37:02",7883.6,10.1,0.1478,278,2.08,1.43,2,24.83,400.38,396.02,16.02,16.84,57.03,59.94,500,1499,2015-06-18 09:37:02,9.61666666666667,"1_PIN_well-watered_young",0.701984748245038,14.0748031496063,0.092375,0.00762067517705442,0.0356308474363504,"1",0.104547899261331,0.100603612269637,"yes","yes"
"Jun-15","18/06/2015",2,"2","PIN",5024,"young","well-watered",152,"10:23:29",10671,3.17,0.1002,338,1.64,1.65,2,26.26,400.22,398.69,16.75,17.4,53.49,55.55,500,1499,2015-06-18 10:23:29,10.3833333333333,"2_PIN_well-watered_young",0.847776467932479,16.240157480315,0.062625,0.00220997493464194,0.0185133973998946,"2",0.0279654112418886,0.0382806353507586,"yes","yes"
"Jun-15","18/06/2015",2,"2","PIN",8014,"young","well-watered",193,"11:08:37",13379,8.94,0.1104,255,1.96,1.79,2,26.57,399.6,395.72,15.79,16.56,51.51,54.03,500,1499,2015-06-18 11:08:37,11.1333333333333,"2_PIN_well-watered_young",0.644395026786617,17.6181102362205,0.069,0.00603420502733485,0.0299750702150252,"2",0.0846026184227494,0.080011475445971,"yes","yes"
"Jun-15","18/06/2015",2,"2","PIN",7061,"young","well-watered",235,"11:44:54",15555.5,8.82,0.2282,324,3.58,1.61,2,25.86,400.04,395.95,15.58,16.99,50.25,54.8,500,1499,2015-06-18 11:44:54,11.7333333333333,"2_PIN_well-watered_young",0.818285137012249,15.8464566929134,0.142625,0.00627309415680165,0.0313832466260609,"2",0.0867585116064742,0.0851385093076602,"yes","yes"
"Jun-15","18/06/2015",3,"3","PIN",5024,"young","well-watered",281,"12:35:55",18616.5,6.21,0.0687,241,1.49,2.17,2,27.7,400.18,397.46,14.61,15.2,42.68,44.38,500,1500,2015-06-18 12:35:55,12.5833333333333,"3_PIN_well-watered_young",0.606350324560962,21.3582677165354,0.0429375,0.00378821967130532,0.0226342484996554,"3",0.0531633596749317,0.053284254898621,"yes","yes"
"Jun-15","18/06/2015",3,"3","PIN",8014,"young","well-watered",330,"13:25:23",21585.4,5.85,0.0652,241,1.51,2.32,2,27.92,399.53,396.95,13.69,14.28,40.2,41.94,500,1499,2015-06-18 13:25:23,13.4166666666667,"3_PIN_well-watered_young",0.607129361380527,22.8346456692913,0.04075,0.00345628996772086,0.021261628464305,"3",0.048681648935135,0.0482866783554245,"yes","yes"
"Jun-15","24/06/2015",1,"1","PIN",2032,"young","well-watered",30,"08:12:27",2754.8,11.1,0.159,276,1.62,1.03,2,22.03,399.65,394.96,15.35,15.99,56.88,59.23,501,1498,2015-06-24 08:12:27,8.2,"1_PIN_well-watered_young",0.698804942272635,10.1377952755906,0.099375,0.0098980476007199,0.0440787122800295,"1",0.131421808467094,0.131361469575784,"yes","yes"
"Jun-15","24/06/2015",1,"1","PIN",9033,"young","well-watered",40,"08:27:14",3641.9,10.32,0.1594,285,1.71,1.09,2,22.53,400.42,396.03,15.56,16.24,58.12,60.63,501,1498,2015-06-24 08:27:14,8.45,"1_PIN_well-watered_young",0.719642451329445,10.7283464566929,0.099625,0.00891854998236834,0.0412528479876498,"1",0.118818164057427,0.121072771510665,"yes","yes"
"Jun-15","24/06/2015",2,"2","PIN",2032,"young","well-watered",155,"10:40:29",11637.7,7.95,0.0857,238,1.5,1.75,2,27.93,399.89,396.47,19.36,19.94,58.68,60.46,500,1498,2015-06-24 10:40:29,10.6666666666667,"2_PIN_well-watered_young",0.600297626554342,17.2244094488189,0.0535625,0.00541545986999721,0.028557592649992,"2",0.0752434208892975,0.0748505769838489,"yes","yes"
